試合日,開催地,対戦カード,game_id,URL,試合状態,試合種別,種別
2025/08/05,横浜,DeNA vs 広島,2021029635,https://baseball.yahoo.co.jp/npb/game/2021029635/index,試合終了,セ・リーグ,セ・リーグ
2025/08/05,東京ドーム,巨人 vs ヤクルト,2021029634,https://baseball.yahoo.co.jp/npb/game/2021029634/index,試合終了,セ・リーグ,セ・リーグ
2025/08/05,バンテリンドーム,中日 vs 阪神,2021029636,https://baseball.yahoo.co.jp/npb/game/2021029636/index,試合終了,セ・リーグ,セ・リーグ
2025/08/05,エスコンF,日本ハム vs 西武,2021029637,https://baseball.yahoo.co.jp/npb/game/2021029637/index,試合終了,パ・リーグ,パ・リーグ
2025/08/05,楽天モバイル,楽天 vs オリックス,2021029638,https://baseball.yahoo.co.jp/npb/game/2021029638/index,試合終了,パ・リーグ,パ・リーグ
2025/08/05,ZOZOマリン,ロッテ vs ソフトバンク,2021029639,https://baseball.yahoo.co.jp/npb/game/2021029639/index,試合終了,パ・リーグ,パ・リーグ
2025/08/05,ロッテ,ロッテ vs 日本ハム,2021030861,https://baseball.yahoo.co.jp/npb/game/2021030861/index,試合終了,イ・リーグ,パ・リーグ
2025/08/05,横須賀,DeNA vs 巨人,2021030862,https://baseball.yahoo.co.jp/npb/game/2021030862/index,試合終了,イ・リーグ,セ・リーグ
2025/08/05,ナゴヤ球場,中日 vs オリックス,2021030341,https://baseball.yahoo.co.jp/npb/game/2021030341/index,試合終了,ウ・リーグ,交流戦
2025/08/05,ハードオフ新潟,オイシックス vs 広島,2021030342,https://baseball.yahoo.co.jp/npb/game/2021030342/index,試合終了,ファーム交流戦,その他
2025/08/05,ちゅ～る,くふうハヤテ vs ヤクルト,2021030343,https://baseball.yahoo.co.jp/npb/game/2021030343/index,試合終了,ファーム交流戦,その他
