試合日,開催地,対戦カード,game_id,URL,試合状態,試合種別,種別
2025/02/10,金武,楽天 vs 日本ハム,2021031019,https://baseball.yahoo.co.jp/npb/game/2021031019/index,試合終了,練習試合,パ・リーグ
2025/02/10,北谷,中日 vs DeNA,2021031020,https://baseball.yahoo.co.jp/npb/game/2021031020/index,試合終了,練習試合,セ・リーグ
2025/02/10,読谷,中日 vs DeNA,2021031036,https://baseball.yahoo.co.jp/npb/game/2021031036/index,試合終了,ファーム練習試合,セ・リーグ
2025/02/13,名護,日本ハム vs 中日,2021031021,https://baseball.yahoo.co.jp/npb/game/2021031021/index,試合中止,練習試合,交流戦
2025/02/13,宜野湾,DeNA vs 楽天,2021031022,https://baseball.yahoo.co.jp/npb/game/2021031022/index,試合中止,練習試合,交流戦
2025/02/15,浦添,ヤクルト vs 広島,2021031025,https://baseball.yahoo.co.jp/npb/game/2021031025/index,試合終了,練習試合,セ・リーグ
2025/02/15,宜野湾,DeNA vs 中日,2021031024,https://baseball.yahoo.co.jp/npb/game/2021031024/index,試合終了,練習試合,セ・リーグ
2025/02/15,宜野座,阪神 vs 楽天,2021031023,https://baseball.yahoo.co.jp/npb/game/2021031023/index,試合終了,練習試合,交流戦
2025/02/16,名護,日本ハム vs 楽天,2021031026,https://baseball.yahoo.co.jp/npb/game/2021031026/index,試合終了,練習試合,パ・リーグ
2025/02/16,宜野座,阪神 vs 広島,2021031027,https://baseball.yahoo.co.jp/npb/game/2021031027/index,試合終了,練習試合,セ・リーグ
2025/02/16,読谷,中日 vs 阪神,2021031037,https://baseball.yahoo.co.jp/npb/game/2021031037/index,試合中止,ファーム練習試合,セ・リーグ
2025/02/18,浦添,ヤクルト vs ロッテ,2021031031,https://baseball.yahoo.co.jp/npb/game/2021031031/index,試合終了,練習試合,交流戦
2025/02/18,那覇,巨人 vs DeNA,2021031028,https://baseball.yahoo.co.jp/npb/game/2021031028/index,試合終了,練習試合,セ・リーグ
2025/02/18,北谷,中日 vs 日本ハム,2021031029,https://baseball.yahoo.co.jp/npb/game/2021031029/index,試合終了,練習試合,交流戦
2025/02/18,沖縄,広島 vs 楽天,2021031030,https://baseball.yahoo.co.jp/npb/game/2021031030/index,試合終了,練習試合,交流戦
2025/02/19,沖縄,広島 vs ロッテ,2021031032,https://baseball.yahoo.co.jp/npb/game/2021031032/index,試合終了,練習試合,交流戦
2025/02/20,浦添,中日 vs ヤクルト,2021031034,https://baseball.yahoo.co.jp/npb/game/2021031034/index,試合終了,練習試合,セ・リーグ
2025/02/20,宜野湾,DeNA vs ロッテ,2021031033,https://baseball.yahoo.co.jp/npb/game/2021031033/index,試合終了,練習試合,交流戦
2025/02/20,名護,日本ハム vs 阪神,2021031038,https://baseball.yahoo.co.jp/npb/game/2021031038/index,試合終了,ファーム練習試合,交流戦
2025/02/22,金武,楽天 vs 阪神,2021029924,https://baseball.yahoo.co.jp/npb/game/2021029924/index,試合終了,オープン戦,交流戦
2025/02/22,宜野湾,DeNA vs 巨人,2021029926,https://baseball.yahoo.co.jp/npb/game/2021029926/index,試合終了,オープン戦,セ・リーグ
2025/02/22,浦添,ヤクルト vs 日本ハム,2021029927,https://baseball.yahoo.co.jp/npb/game/2021029927/index,試合終了,オープン戦,交流戦
2025/02/22,宮崎アイビー,ソフトバンク vs オリックス,2021029928,https://baseball.yahoo.co.jp/npb/game/2021029928/index,試合終了,オープン戦,パ・リーグ
2025/02/22,北谷,中日 vs ロッテ,2021029925,https://baseball.yahoo.co.jp/npb/game/2021029925/index,試合終了,オープン戦,交流戦
2025/02/23,名護,日本ハム vs 楽天,2021029929,https://baseball.yahoo.co.jp/npb/game/2021029929/index,試合終了,オープン戦,パ・リーグ
2025/02/23,那覇,巨人 vs 広島,2021029930,https://baseball.yahoo.co.jp/npb/game/2021029930/index,試合終了,オープン戦,セ・リーグ
2025/02/23,浦添,ヤクルト vs DeNA,2021029932,https://baseball.yahoo.co.jp/npb/game/2021029932/index,試合終了,オープン戦,セ・リーグ
2025/02/23,SOKKEN,オリックス vs ソフトバンク,2021029933,https://baseball.yahoo.co.jp/npb/game/2021029933/index,試合終了,オープン戦,パ・リーグ
2025/02/23,北谷,中日 vs 阪神,2021029931,https://baseball.yahoo.co.jp/npb/game/2021029931/index,試合終了,オープン戦,セ・リーグ
2025/02/24,那覇,巨人 vs ロッテ,2021029934,https://baseball.yahoo.co.jp/npb/game/2021029934/index,試合終了,オープン戦,交流戦
2025/02/24,北谷,中日 vs 広島,2021029935,https://baseball.yahoo.co.jp/npb/game/2021029935/index,試合終了,オープン戦,セ・リーグ
2025/02/24,浦添,ヤクルト vs 楽天,2021031049,https://baseball.yahoo.co.jp/npb/game/2021031049/index,試合終了,練習試合,交流戦
2025/02/24,宜野座,阪神 vs DeNA,2021031035,https://baseball.yahoo.co.jp/npb/game/2021031035/index,試合終了,練習試合,セ・リーグ
2025/02/26,SOKKEN,オリックス vs ロッテ,2021031043,https://baseball.yahoo.co.jp/npb/game/2021031043/index,試合終了,球春みやざきベースボールゲームズ,パ・リーグ
2025/02/27,宮崎,西武 vs ロッテ,2021031050,https://baseball.yahoo.co.jp/npb/game/2021031050/index,試合終了,球春みやざきベースボールゲームズ,パ・リーグ
2025/03/01,倉敷,楽天 vs 広島,2021029936,https://baseball.yahoo.co.jp/npb/game/2021029936/index,試合終了,オープン戦,交流戦
2025/03/01,バンテリンドーム,中日 vs DeNA,2021029938,https://baseball.yahoo.co.jp/npb/game/2021029938/index,試合終了,オープン戦,セ・リーグ
2025/03/01,東京ドーム,巨人 vs ヤクルト,2021029937,https://baseball.yahoo.co.jp/npb/game/2021029937/index,試合終了,オープン戦,セ・リーグ
2025/03/01,宮崎アイビー,ソフトバンク vs 西武,2021031044,https://baseball.yahoo.co.jp/npb/game/2021031044/index,試合終了,球春みやざきベースボールゲームズ,パ・リーグ
2025/03/01,横須賀,DeNA vs 楽天,2021031057,https://baseball.yahoo.co.jp/npb/game/2021031057/index,試合終了,イ・リーグ春季教育リーグ,交流戦
